SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_open,DJ_high,DJ_low,DJ_close,DJ_Ajclose,DJ_volume,EU_Price,EU_open,EU_high,EU_low,Adj_Close
123.029999,123.199997,121.989998,122.18,105.441238,199109200,11825.29004,11967.83984,11825.21973,11868.80957,11868.80957,136930000,1.3018,1.2982,1.3051,1.2957,152.330002
122.230003,122.949997,121.300003,121.589996,105.597549,220481400,11870.25,11968.17969,11819.30957,11866.38965,11866.38965,389520000,1.3035,1.302,1.3087,1.2997,155.229996
122.059998,122.32,120.029999,120.290001,104.468536,183903000,11866.54004,11925.87988,11735.19043,11766.25977,11766.25977,135170000,1.2995,1.3043,1.3044,1.2981,154.869995
122.18,124.139999,120.370003,123.93,107.629784,225418100,11769.20996,12117.12988,11768.83008,12103.58008,12103.58008,165180000,1.3079,1.3003,1.3133,1.2994,156.979996
123.93,124.360001,122.75,124.169998,107.838242,194230900,12103.58008,12119.7002,11999.44043,12107.74023,12107.74023,163250000,1.3045,1.3079,1.3197,1.3024,157.160004
124.629997,125.400002,124.230003,125.269997,108.793526,119465400,12107.58984,12182.70996,12107.37012,12169.65039,12169.65039,151610000,1.3051,1.3047,1.3121,1.3018,156.039993
125.669998,126.43,125.410004,126.389999,109.76622,92187200,12169.87988,12297.44043,12169.79981,12294,12294,80420000,1.3043,1.3051,1.3098,1.3026,156.309998
126.169998,126.82,126.059998,126.489998,109.853065,86075700,12293.46973,12328.46973,12269.96973,12291.34961,12291.34961,95980000,1.3068,1.3062,1.3083,1.3041,154.910004
126.510002,126.529999,124.730003,124.830002,108.411423,119107100,12288.84961,12299.11035,12140.16992,12151.41016,12151.41016,84010000,1.2936,1.307,1.3081,1.291,151.029999
125.239998,126.25,124.860001,126.120003,109.531738,123507200,12152.32031,12293.95996,12152.08984,12287.04004,12287.04004,8410000,1.2962,1.2939,1.2965,1.2857,150.339996
126.019997,126.330002,125.5,125.5,108.993294,95599000,12286.28027,12290.05957,12213.78027,12217.55957,12217.55957,96670000,1.2948,1.2963,1.3001,1.2904,151.990005
127.760002,128.380005,127.43,127.5,110.730225,193697900,12221.19043,12479.65039,12221.19043,12397.37988,12397.37988,152560000,1.3051,1.2933,1.3077,1.2931,155.919998
127.199997,127.809998,126.709999,127.699997,110.903915,127186500,12392.45996,12430,12337.25,12418.41992,12418.41992,145130000,1.2942,1.3051,1.3074,1.2898,156.710007
127.010002,128.229996,126.43,128.039993,111.199211,173895000,12418.41992,12435.98047,12283.90039,12415.7002,12415.7002,158440000,1.278,1.2944,1.2948,1.2769,157.779999
128.199997,128.220001,127.290001,127.709999,110.912621,148050000,12407.4502,12415.24023,12332.41016,12359.91992,12359.91992,131120000,1.2721,1.2788,1.2812,1.2696,157.199997
128,128.179993,127.410004,128.020004,111.181839,99530200,12359.30957,12409.08008,12333.84961,12392.69043,12392.69043,122200000,1.2767,1.2693,1.2788,1.2666,156.5
129.389999,129.649994,128.949997,129.130005,112.145851,115282000,12394.50977,12514.69043,12394.50977,12462.46973,12462.46973,141230000,1.2772,1.2766,1.2819,1.2742,158.639999
128.729996,129.369995,128.520004,129.199997,112.206642,111540700,12459.51953,12462.58008,12399.00977,12449.4502,12449.4502,130260000,1.2704,1.2774,1.279,1.2662,159.669998
129.570007,129.699997,128.539993,129.509995,112.475838,118983700,12449.91016,12483.7002,12385.08008,12471.01953,12471.01953,128230000,1.2826,1.2706,1.2845,1.2698,160.380005
128.639999,129.050003,127.720001,128.839996,111.893974,179836200,12469.95996,12470.12012,12311.79004,12422.05957,12422.05957,161470000,1.2677,1.2822,1.2879,1.2624,159.259995
130.080002,130.320007,128.899994,129.339996,112.328224,132209200,12423.12012,12573.65039,12423.12012,12482.07031,12482.07031,148670000,1.274,1.2664,1.2811,1.2649,160.5
